Other Store Based Retailing,Dollars (millions),H27,Additions to fixed assets,Financial position,108,ANZSIC06 group G427,Finance,Total,Group
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H08,Total expenditure,Financial performance,838.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H09,Interest and donations,Financial performance,15.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H10,Indirect taxes,Financial performance,1.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H11,Depreciation,Financial performance,17.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H12,Salaries and wages paid,Financial performance,133.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H13,Redundancy and severance,Financial performance,0.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,392.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,270.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H20,Non-operating expenses,Financial performance,10.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H21,Opening stocks,Financial performance,90.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H22,Closing stocks,Financial performance,90.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H23,Surplus before income tax,Financial performance,80.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H24,Total assets,Financial position,572.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H25,Current assets,Financial position,350.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H26,Fixed tangible assets,Financial position,95.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H27,Additions to fixed assets,Financial position,38.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H28,Disposals of fixed assets,Financial position,21.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H29,Other assets,Financial position,127.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H30,Total equity and liabilities,Financial position,572.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,235.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H32,Current liabilities,Financial position,201.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars (millions),H33,Other liabilities,Financial position,136.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars,H34,Total income per employee count,Financial ratios,297400.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Dollars,H35,Surplus per employee count,Financial ratios,25800.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Percentage,H36,Current ratio,Financial ratios,174.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Percentage,H37,Quick ratio,Financial ratios,129.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,47.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Percentage,H39,Return on equity,Financial ratios,34.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Percentage,H40,Return on total assets,Financial ratios,14.00,ANZSIC06 groups G431 and G432
2013,Level 4,GH135,Non-Store and Commission Based Retailing,Percentage,H41,Liabilities structure,Financial ratios,41.00,ANZSIC06 groups G431 and G432
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H01,Total income,Financial performance,10624.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H02,Sales of goods not further processed,Financial performance,2541.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H03,Sales of other goods and services,Financial performance,7851.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,64.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,1.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H07,Non-operating income,Financial performance,167.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H08,Total expenditure,Financial performance,10043.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H09,Interest and donations,Financial performance,225.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H10,Indirect taxes,Financial performance,100.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H11,Depreciation,Financial performance,396.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H12,Salaries and wages paid,Financial performance,2892.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H13,Redundancy and severance,Financial performance,1.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,1244.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,5090.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H20,Non-operating expenses,Financial performance,96.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H21,Opening stocks,Financial performance,188.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H22,Closing stocks,Financial performance,201.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H23,Surplus before income tax,Financial performance,594.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H24,Total assets,Financial position,11951.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H25,Current assets,Financial position,2168.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H26,Fixed tangible assets,Financial position,7477.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H27,Additions to fixed assets,Financial position,1211.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H28,Disposals of fixed assets,Financial position,753.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H29,Other assets,Financial position,2306.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H30,Total equity and liabilities,Financial position,11951.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,4041.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H32,Current liabilities,Financial position,3686.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars (millions),H33,Other liabilities,Financial position,4224.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars,H34,Total income per employee count,Financial ratios,85400.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Dollars,H35,Surplus per employee count,Financial ratios,4800.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Percentage,H36,Current ratio,Financial ratios,59.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Percentage,H37,Quick ratio,Financial ratios,53.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Percentage,H38,Margin on sales of goods for resale,Financial ratios,51.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Percentage,H39,Return on equity,Financial ratios,15.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Percentage,H40,Return on total assets,Financial ratios,5.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 3,GH21,Accommodation and Food Services,Percentage,H41,Liabilities structure,Financial ratios,34.00,"ANZSIC06 groups H440, H451, H452, and H453"
2013,Level 4,GH211,Accommodation,Dollars (millions),H01,Total income,Financial performance,2855.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H02,Sales of goods not further processed,Financial performance,427.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H03,Sales of other goods and services,Financial performance,2291.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,27.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,1.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H07,Non-operating income,Financial performance,110.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H08,Total expenditure,Financial performance,2600.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H09,Interest and donations,Financial performance,133.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H10,Indirect taxes,Financial performance,57.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H11,Depreciation,Financial performance,151.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H12,Salaries and wages paid,Financial performance,711.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H13,Redundancy and severance,Financial performance,0.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,162.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,1322.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H20,Non-operating expenses,Financial performance,63.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H21,Opening stocks,Financial performance,48.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H22,Closing stocks,Financial performance,47.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H23,Surplus before income tax,Financial performance,254.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H24,Total assets,Financial position,7141.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H25,Current assets,Financial position,1095.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H26,Fixed tangible assets,Financial position,4852.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H27,Additions to fixed assets,Financial position,580.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H28,Disposals of fixed assets,Financial position,428.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H29,Other assets,Financial position,1194.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H30,Total equity and liabilities,Financial position,7141.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,2608.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H32,Current liabilities,Financial position,1712.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars (millions),H33,Other liabilities,Financial position,2822.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars,H34,Total income per employee count,Financial ratios,108900.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Dollars,H35,Surplus per employee count,Financial ratios,9700.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Percentage,H36,Current ratio,Financial ratios,64.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Percentage,H37,Quick ratio,Financial ratios,61.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Percentage,H38,Margin on sales of goods for resale,Financial ratios,62.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Percentage,H39,Return on equity,Financial ratios,10.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Percentage,H40,Return on total assets,Financial ratios,4.00,ANZSIC06 group H440
2013,Level 4,GH211,Accommodation,Percentage,H41,Liabilities structure,Financial ratios,37.00,ANZSIC06 group H440
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H01,Total income,Financial performance,7769.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H02,Sales of goods not further processed,Financial performance,2115.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H03,Sales of other goods and services,Financial performance,5560.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,37.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,1.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H07,Non-operating income,Financial performance,57.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H08,Total expenditure,Financial performance,7443.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H09,Interest and donations,Financial performance,92.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H10,Indirect taxes,Financial performance,43.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H11,Depreciation,Financial performance,245.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H12,Salaries and wages paid,Financial performance,2180.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H13,Redundancy and severance,Financial performance,1.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,1082.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,3767.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H20,Non-operating expenses,Financial performance,33.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H21,Opening stocks,Financial performance,140.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H22,Closing stocks,Financial performance,154.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H23,Surplus before income tax,Financial performance,339.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H24,Total assets,Financial position,4810.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H25,Current assets,Financial position,1073.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H26,Fixed tangible assets,Financial position,2625.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H27,Additions to fixed assets,Financial position,631.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H28,Disposals of fixed assets,Financial position,326.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H29,Other assets,Financial position,1112.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H30,Total equity and liabilities,Financial position,4810.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,1433.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H32,Current liabilities,Financial position,1974.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars (millions),H33,Other liabilities,Financial position,1403.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars,H34,Total income per employee count,Financial ratios,79100.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Dollars,H35,Surplus per employee count,Financial ratios,3500.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Percentage,H36,Current ratio,Financial ratios,54.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Percentage,H37,Quick ratio,Financial ratios,47.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Percentage,H38,Margin on sales of goods for resale,Financial ratios,49.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Percentage,H39,Return on equity,Financial ratios,24.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Percentage,H40,Return on total assets,Financial ratios,7.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 4,GH212,Food and Beverage Services,Percentage,H41,Liabilities structure,Financial ratios,30.00,"ANZSIC06 groups H451, H452, and H453"
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H01,Total income,Financial performance,21445.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H04,Sales of goods and services,Financial performance,20054.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,508.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,492.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H07,Non-operating income,Financial performance,391.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H08,Total expenditure,Financial performance,19731.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H09,Interest and donations,Financial performance,537.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H10,Indirect taxes,Financial performance,502.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H11,Depreciation,Financial performance,1273.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H12,Salaries and wages paid,Financial performance,4987.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H13,Redundancy and severance,Financial performance,38.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,11750.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H20,Non-operating expenses,Financial performance,683.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H21,Opening stocks,Financial performance,218.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H22,Closing stocks,Financial performance,226.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H23,Surplus before income tax,Financial performance,1723.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H24,Total assets,Financial position,32729.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H25,Current assets,Financial position,7070.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H26,Fixed tangible assets,Financial position,20122.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H27,Additions to fixed assets,Financial position,2503.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H28,Disposals of fixed assets,Financial position,804.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H29,Other assets,Financial position,5536.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H30,Total equity and liabilities,Financial position,32729.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,16941.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H32,Current liabilities,Financial position,7504.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H33,Other liabilities,Financial position,8284.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars,H34,Total income per employee count,Financial ratios,262200.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Dollars,H35,Surplus per employee count,Financial ratios,21100.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Percentage,H36,Current ratio,Financial ratios,94.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Percentage,H37,Quick ratio,Financial ratios,91.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Percentage,H39,Return on equity,Financial ratios,10.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Percentage,H40,Return on total assets,Financial ratios,5.00,ANZSIC06 division I
2013,Level 1,II,"Transport, Postal and Warehousing",Percentage,H41,Liabilities structure,Financial ratios,52.00,ANZSIC06 division I
2013,Level 3,II11,Road Transport,Dollars (millions),H01,Total income,Financial performance,7351.00,ANZSIC06 groups I461 and I462
2013,Level 3,II11,Road Transport,Dollars (millions),H04,Sales of goods and services,Financial performance,7057.00,ANZSIC06 groups I461 and I462
2013,Level 3,II11,Road Transport,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,71.00,ANZSIC06 groups I461 and I462
2013,Level 3,II11,Road Transport,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,152.00,ANZSIC06 groups I461 and I462
2013,Level 3,II11,Road Transport,Dollars (millions),H07,Non-operating income,Financial performance,71.00,ANZSIC06 groups I461 and I462
2013,Level 3,II11,Road Transport,Dollars (millions),H08,Total expenditure,Financial performance,6907.00,ANZSIC06 groups I461 and I462
2013,Level 3,II11,Road Transport,Dollars (millions),H09,Interest and donations,Financial performance,138.00,ANZSIC06 groups I461 and I462
